title,artist,tempo,energy,danceability,loudness,valence
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,115,83,70,-6,63
Influence,Tove Lo,105,59,77,-10,33
Remember I Told You,Nick Jonas,113,53,68,-6,84
Messin' Around,Pitbull,158,81,57,-5,78
Water Under the Bridge,Adele,95,84,60,-7,47
Free Me,Sia,87,46,27,-4,21
Kissing Strangers - Remix,DNCE,120,77,76,-6,81
A L I E N S,Coldplay,148,88,43,-5,25
One Kiss (with Dua Lipa),Calvin Harris,124,86,79,-3,59
Havana (feat. Young Thug),Camila Cabello,105,52,77,-4,39
New Rules,Dua Lipa,116,70,76,-6,61
There's Nothing Holdin' Me Back,Shawn Mendes,122,81,87,-4,97
no tears left to cry,Ariana Grande,122,71,70,-6,35
IDGAF,Dua Lipa,97,54,84,-6,51
In My Blood,Shawn Mendes,140,71,62,-7,49
Wolves,Selena Gomez,125,80,72,-5,31
Dusk Till Dawn - Radio Edit,ZAYN,180,44,26,-7,10
Attention,Charlie Puth,100,61,78,-5,80
Electricity (with Dua Lipa),Silk City,118,67,59,-6,51
Love On The Brain,Rihanna,172,64,51,-5,38
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,103,71,66,-4,74
Silence,Marshmello,142,76,52,-3,29
Sorry Not Sorry,Demi Lovato,144,64,71,-7,89
Shallow - Radio Edit,Lady Gaga,96,33,57,-7,28
These Days,Rudimental,92,81,65,-4,55
What Lovers Do (feat. SZA),Maroon 5,110,60,80,-5,42
Finesse - Remix; feat. Cardi B,Bruno Mars,105,86,70,-5,93
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,95,30,59,-7,36
Bad At Love,Halsey,118,75,68,-4,61
Him & I (with Halsey),G-Eazy,88,73,59,-6,19
Friends (with BloodPop®),Justin Bieber,105,73,74,-5,62
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,98,67,67,-3,63
My My My!,Troye Sivan,103,46,70,-8,48
Capital Letters,Hailee Steinfeld,100,81,66,-6,46
Sick Boy,The Chainsmokers,90,58,66,-8,45
Tequila,Dan + Shay,86,59,47,-6,50
Look What You Made Me Do,Taylor Swift,128,71,77,-6,51
Youth (feat. Khalid),Shawn Mendes,100,60,53,-7,32
Bad Liar,Selena Gomez,121,41,97,-6,73
Anywhere,Rita Ora,107,80,63,-4,32
Chun-Li,Nicki Minaj,129,73,69,-5,48
Sign of the Times,Harry Styles,120,57,52,-5,21
Familiar,Liam Payne,93,81,64,-5,91
Let Me,ZAYN,168,57,46,-6,19
Supernova,Ansel Elgort,140,62,77,-5,68
Nervous,Shawn Mendes,122,62,84,-7,74
End Game,Taylor Swift,159,59,65,-6,15
Mi Gente (feat. Beyoncé),J Balvin,105,72,76,-6,47
Lemon,N.E.R.D,95,73,92,-7,20
For You (With Rita Ora),Liam Payne,113,80,54,-5,18
Want To,Dua Lipa,92,69,57,-5,32
What I Need (feat. Kehlani),Hayley Kiyoko,104,79,63,-4,41
Wait,Maroon 5,126,60,66,-5,45
What About Us,P!nk,114,59,39,-6,19
2U (feat. Justin Bieber),David Guetta,145,61,53,-7,53
Walk On Water (feat. Beyoncé),Eminem,82,44,48,-10,62
This Town,Niall Horan,112,41,68,-8,20
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,94,69,73,-4,42
MOVE TO MIAMI,Enrique Iglesias,100,87,76,-4,90
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,100,64,75,-5,45
Filthy,Justin Timberlake,97,58,75,-6,65
Never Be the Same - Radio Edit,Camila Cabello,130,69,63,-4,25
Ferrari,Bebe Rexha,77,48,58,-6,42
Supplies,Justin Timberlake,120,55,79,-7,23
Boom Boom,RedOne,110,76,75,-8,58
...Ready For It? - BloodPop® Remix,Taylor Swift,160,84,58,-5,50
Drip (feat. Migos),Cardi B,130,59,97,-8,27
Tell Me You Love Me - NOTD Remix,Demi Lovato,102,77,58,-5,76
Memories,Maroon 5,91,32,76,-7,57
Lose You To Love Me,Selena Gomez,102,34,51,-9,9
Someone You Loved,Lewis Capaldi,110,41,50,-6,45
Señorita,Shawn Mendes,117,54,76,-6,75
How Do You Sleep?,Sam Smith,111,68,48,-5,35
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,98,62,86,-6,67
Trampoline (with ZAYN),SHAED,127,46,62,-6,50
Happier,Marshmello,100,79,69,-3,67
Truth Hurts,Lizzo,158,62,72,-3,41
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,96,89,67,-3,48
Higher Love,Kygo,104,68,69,-7,40
Only Human,Jonas Brothers,94,50,80,-6,87
Beautiful People (feat. Khalid),Ed Sheeran,93,65,64,-8,55
Sucker,Jonas Brothers,138,73,84,-5,95
Don't Call Me Up,Mabel,99,88,67,-3,23
I Don't Care (with Justin Bieber),Ed Sheeran,102,68,80,-5,84
Talk (feat. Disclosure),Khalid,136,40,90,-9,35
Giant (with Rag'n'Bone Man),Calvin Harris,122,89,81,-4,61
Takeaway,The Chainsmokers,100,51,53,-8,35
All Around The World (La La La),R3HAB,125,86,73,-5,52
Girls Like You (feat. Cardi B),Maroon 5,125,54,85,-7,45
Call You Mine,The Chainsmokers,104,70,59,-6,52
No Guidance (feat. Drake),Chris Brown,93,45,70,-7,14
Antisocial (with Travis Scott),Ed Sheeran,152,82,72,-5,91
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,96,80,84,-4,62
Con Calma - Remix,Daddy Yankee,94,87,74,-3,61
Find U Again (feat. Camila Cabello),Mark Ronson,104,66,61,-7,16
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,95,79,75,-6,61
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,136,76,53,-5,65
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,114,79,60,-6,24
Kills You Slowly,The Chainsmokers,150,44,70,-9,23
Sunrise,Norah Jones,157,30,53,-14,68
Black Night,Deep Purple,135,79,50,-11,81
Clint Eastwood,Gorillaz,168,69,66,-9,52
The Pretender,Foo Fighters,173,96,43,-4,37
Waitin' On A Sunny Day,Bruce Springsteen,106,82,58,-5,87
The Road Ahead (Miles Of The Unknown),City To City,99,46,54,-9,14
She Will Be Loved,Maroon 5,102,71,71,-6,54
Knights of Cydonia,Muse,137,96,37,-5,21
Mr. Brightside,The Killers,148,92,36,-4,23
Without Me,Eminem,112,67,91,-3,66
Love Me Tender,Elvis Presley,109,5,44,-16,31
Seven Nation Army,The White Stripes,124,46,74,-8,32
Als Het Golft,De Dijk,102,88,54,-6,59
I'm going home,Ten Years After,117,93,38,-2,40
Fluorescent Adolescent,Arctic Monkeys,112,81,65,-5,82
Zonder Jou,Paul de Leeuw,133,42,42,-10,25
Speed of Sound,Coldplay,123,90,52,-7,36
Uninvited,Alanis Morissette,127,54,38,-5,19
Music,John Miles,87,31,27,-13,12
Cry Me a River,Justin Timberlake,74,65,62,-7,56
Fix You,Coldplay,138,42,21,-9,12
The Cave,Mumford & Sons,142,51,60,-10,35
Als De Morgen Is Gekomen,Jan Smit,96,89,63,-6,81
Somebody Told Me,The Killers,138,99,51,-3,65
Dichterbij Dan Ooit,BLØF,112,74,65,-7,52
Miracle,Ilse DeLange,130,48,55,-8,18
Smokers Outside the Hospital Doors,Editors,123,68,53,-4,55
Cleanin' Out My Closet,Eminem,148,76,91,-5,87
Der Weg,Herbert Grönemeyer,142,24,34,-11,19
7 Seconds (feat. Neneh Cherry),Youssou N'Dour,154,70,68,-10,51
The Scientist,Coldplay,146,44,56,-7,21
Big Log - 2006 Remaster,Robert Plant,181,59,56,-9,68
Chasing Pavements,Adele,80,47,62,-6,33
Don't Know Why,Norah Jones,88,20,73,-12,62
Tears Dry On Their Own,Amy Winehouse,122,87,64,-3,45
The Eyes of Jenny,Sandy Coast,119,53,68,-12,68
Iris,The Goo Goo Dolls,156,79,29,-6,51
The Saints Are Coming,U2,152,81,32,-7,12
All My Life,Foo Fighters,168,60,58,-6,65
De Weg,Guus Meeuwis,72,21,46,-11,26
Don't Let Me Be Misunderstood,Santa Esmeralda,118,82,67,-9,78
Traffic - Radio Edit,Tiësto,138,64,71,-10,10
Take Me Out,Franz Ferdinand,105,68,28,-9,49
American Idiot,Green Day,186,99,38,-2,77
Breaking the Habit,Linkin Park,100,85,58,-5,58
Come Undone,Robbie Williams,168,57,38,-5,26
Sweet Jane,Lou Reed,115,46,83,-10,88
Run,Snow Patrol,75,64,37,-6,20
"You're The First, The Last, My Everything",Barry White,131,72,64,-7,80
The Day After Tomorrow,Saybia,76,77,46,-5,35
Just Breathe,Pearl Jam,108,35,47,-11,28
Dansen Aan Zee,BLØF,194,43,35,-11,26
Goodbye My Lover,James Blunt,90,26,43,-13,27
The Unforgiven III,Metallica,122,77,30,-3,9
Hurt,Christina Aguilera,149,30,33,-7,14
Grounds for Divorce,Elbow,92,76,52,-5,63
Sometimes You Can't Make It On Your Own,U2,96,60,53,-6,35
"Listen (From the Motion Picture ""Dreamgirls"")",Beyoncé,123,59,48,-5,20
I Want It That Way,Backstreet Boys,99,70,69,-6,48
Goin To The Run,Golden Earring,124,59,47,-8,18
De Neus Umhoeg,Rowwen Hèze,132,41,62,-14,51
Solitary Man,Johnny Cash,86,56,44,-7,70
Smoorverliefd,Doe Maar,166,75,70,-9,91
Me Gustas Tu,Manu Chao,176,74,66,-7,91
Kryptonite,3 Doors Down,99,87,55,-6,54
Crazy,Seal,103,86,63,-7,73
Family Portrait,P!nk,92,69,76,-5,73
In The Army Now,Status Quo,105,73,68,-8,94
I Surrender,Saybia,136,43,28,-7,7
Maybe Tomorrow,Stereophonics,81,65,50,-7,57
Make You Feel My Love,Adele,77,18,55,-11,9
No One Knows,Queens of the Stone Age,171,58,51,-5,67
Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,183,44,56,-8,44
The Wild Rover,The Dubliners,178,68,30,-8,77
Little Lion Man,Mumford & Sons,139,48,52,-8,46
Dirty Diana,Michael Jackson,131,80,75,-5,37
Ne me quitte pas,Jacques Brel,101,24,42,-11,30
Sad Man's Tongue,Volbeat,110,96,43,-4,56
Wat Zou Je Doen - Live,Marco Borsato,104,92,66,-6,46
One Day Like This,Elbow,159,67,43,-6,38
Bagagedrager,Spinvis,160,71,50,-8,33
Wêr Bisto,Twarres,88,32,52,-11,18
Only Time,Enya,83,25,42,-14,21
Sorry Seems To Be The Hardest Word,Blue,79,60,56,-7,44
Self Esteem,The Offspring,105,91,46,-4,61
Aanzoek Zonder Ringen,BLØF,160,85,55,-8,46
Modern World,Anouk,120,76,70,-5,68
Rosie,Claw Boys Claw,100,55,59,-12,64
This Is Not America - 2002 Remaster,David Bowie,115,67,72,-12,65
Times Like These,Foo Fighters,145,91,38,-4,27
De Vondeling Van Ameland,Boudewijn de Groot,110,35,39,-10,16
I'm Gonna Be (500 Miles),The Proclaimers,132,55,85,-5,81
Afscheid Nemen Bestaat Niet,Marco Borsato,128,40,40,-9,22
Blauwe Ruis,BLØF,130,70,52,-7,35
Limburg - Live,Rowwen Hèze,157,93,23,-5,28
21 Guns,Green Day,160,74,27,-5,42
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,106,84,70,-5,89
Blaosmuziek,Gé Reinders,61,13,27,-14,18
Binnen,Marco Borsato,92,90,50,-7,67
Motorcycle Emptiness,Manic Street Preachers,112,81,53,-4,21
In the End,Linkin Park,105,86,56,-6,40
Halt mich,Herbert Grönemeyer,104,44,29,-7,16
Girl,Anouk,136,80,67,-5,79
"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Bruce Springsteen,162,62,32,-6,36
Ik Wou Dat Ik Jou Was,Veldhuis & Kemper,160,61,36,-6,49
Numb / Encore,JAY-Z,107,79,69,-4,75
Ben Ik Te Min,Armand,101,69,62,-7,56
All Summer Long,Kid Rock,103,86,70,-4,89
Forever Autumn,Jeff Wayne,122,49,35,-7,21
Waiting On the World to Change,John Mayer,177,76,58,-6,66
Everybody's Changing,Keane,94,84,52,-4,46
How to Save a Life,The Fray,122,74,64,-4,36
"Bloed, Zweet En Tranen",Andre Hazes,68,72,60,-4,37
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,171,74,69,-5,6
Europa (Earth's Cry Heaven's Smile),Santana,75,67,30,-5,68
Feeling Good,Muse,109,42,35,-8,27
"Harder, Better, Faster, Stronger",Daft Punk,123,72,82,-9,69
Use Somebody,Kings of Leon,137,72,28,-5,17
Sweet Disposition,The Temper Trap,129,82,53,-7,34
Single Ladies (Put a Ring on It),Beyoncé,193,58,43,-5,27
You're the Voice,John Farnham,85,76,37,-9,64
Voltooid Verleden Tijd,IOS,138,44,46,-9,15
Eternal Flame,The Bangles,79,36,53,-7,40
Papa Was A Rolling Stone,The Temptations,120,60,85,-12,87
Crazy In Love (feat. Jay-Z),Beyoncé,99,77,65,-7,68
Best of You,Foo Fighters,130,94,37,-5,37
Daughters,John Mayer,125,41,67,-8,50
De wedstrijd,Bram Vermeulen,136,85,58,-6,58
Papillon,Editors,126,95,51,-5,63
Sadeness,Enigma,96,64,59,-10,49
Red Mij Niet - Single Edit,Maarten Van Roozendaal,119,38,52,-9,13
Love Is A Losing Game,Amy Winehouse,165,56,48,-6,54
Zij,Marco Borsato,58,40,25,-9,11
Tribute,Tenacious D,94,77,37,-6,42
You Know I'm No Good,Amy Winehouse,103,81,71,-4,73
Talk,Coldplay,120,56,41,-11,16
Love Is A Battlefield,Pat Benatar,91,63,67,-12,86
Home,Michael Bublé,128,37,61,-9,35
Sonne,Rammstein,75,92,51,-5,31
I Gotta Feeling,The Black Eyed Peas,128,77,74,-6,61
She Sells Sanctuary,The Cult,139,77,55,-9,42
Alie,Normaal,93,77,52,-11,93
Red Red Wine,UB40,89,47,86,-9,84
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,115,97,60,-6,72
Love You More,Racoon,171,20,34,-11,30
Old Man,Neil Young,141,30,71,-12,48
Zij Maakt Het Verschil,De Poema's,173,55,34,-8,36
I Want To Hold Your Hand - Remastered 2015,The Beatles,131,72,49,-6,87
Black Magic Woman,Santana,124,55,50,-7,63
Set The Fire To The Third Bar,Snow Patrol,96,38,54,-7,39
Ghost Love Score,Nightwish,101,78,44,-5,19
Going To A Town,Rufus Wainwright,124,46,56,-7,19
Is Dit Alles,Doe Maar,121,41,83,-14,88
A Gentleman's Excuse Me,Fish,126,17,33,-14,19
God Put a Smile upon Your Face,Coldplay,127,56,61,-6,24
Heartbreak Warfare,John Mayer,97,55,62,-8,31
Sailing to Philadelphia,Mark Knopfler,99,48,59,-10,15
Accidentally In Love,Counting Crows,138,93,55,-4,81
It's Raining Men,The Weather Girls,136,93,66,-6,46
One Word,Anouk,92,57,62,-8,34
Goodnight Saigon,Billy Joel,129,39,59,-14,15
Moonlight Shadow,Mike Oldfield,129,72,61,-8,80
Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,Ramses Shaffy,130,32,53,-17,46
Uprising,Muse,128,91,60,-4,41
My Immortal,Evanescence,79,27,19,-9,10
Feel Like Flying,Racoon,98,69,67,-7,83
Everything,Michael Bublé,123,69,69,-5,49
Hey There Delilah,Plain White T's,104,29,66,-11,30
Speeltuin,Marco Borsato,112,8,53,-16,31
"Comptine d'un autre été, l'après-midi",Yann Tiersen,100,19,48,-15,6
Sweet Goodbyes,Krezip,110,33,63,-9,47
The Man Who Can't Be Moved,The Script,100,63,61,-5,33
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,173,30,32,-13,44
Halo,Beyoncé,80,72,51,-6,47
Hollereer,De Jeugd Van Tegenwoordig,190,76,79,-7,49
Hier,BLØF,164,76,50,-8,58
Ice Queen,Within Temptation,92,57,26,-8,15
Another 45 Miles,Golden Earring,91,59,56,-10,48
Like a Hurricane - 2003 Remaster,Neil Young,114,83,42,-5,61
Father & Friend,Alain Clark,98,62,66,-9,66
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,109,78,70,-8,39
The Blower's Daughter,Damien Rice,133,20,34,-14,7
Magnificent,U2,115,72,53,-6,59
Virtual Insanity - Remastered,Jamiroquai,92,95,66,-5,52
Belle Hélène,Doe Maar,138,56,74,-10,98
Go With The Flow,Queens of the Stone Age,159,99,24,-4,37
Sound Of The Screameng Day,Golden Earrings,138,55,59,-8,50
Plug in Baby,Muse,136,97,41,-4,35
Heavy Cross,Gossip,120,69,79,-4,22
Nederwiet,Doe Maar,131,71,78,-9,61
Heart Of Glass,Blondie,115,70,73,-8,41
The Real Slim Shady,Eminem,105,66,95,-4,76
Stuck In A Moment You Can't Get Out Of,U2,159,64,52,-5,32
Tumble and Fall,JOHAN,170,61,45,-7,48
Les lacs du Connemara,Michel Sardou,112,59,30,-10,40
Hier Kom Ik Weg,Daniël Lohues,92,38,57,-10,53
Starlight,Muse,122,87,55,-4,32
Dakota,Stereophonics,147,93,51,-3,31
Time To Say Goodbye (Con Te Partirò),Sarah Brightman,105,44,29,-7,45
Green Eyes,Coldplay,130,41,61,-9,23
Silence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit,Delerium,138,85,60,-6,9
De Kapitein Deel II,Acda en de Munnik,115,61,67,-11,67
Supermassive Black Hole,Muse,120,92,67,-4,78
Pak Maar M'n Hand,Nick & Simon,166,57,32,-5,38
De Bom,Doe Maar,133,81,86,-8,85
Bombay,Golden Earring,125,92,52,-7,73
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,170,66,46,-9,53
Oerend Hard,Normaal,127,66,66,-10,84
Society,Eddie Vedder,162,33,56,-11,30
White Flag,Dido,170,54,51,-7,28
Heaven Must Be Missing An Angel - Pt. 1,Tavares,117,75,61,-9,97
Wake Me up When September Ends,Green Day,105,81,55,-5,15
Can't Stop,Red Hot Chili Peppers,91,94,62,-3,88
Driving Home for Christmas,Chris Rea,180,66,50,-9,89
Mutter,Rammstein,116,62,49,-7,8
Pa,Doe Maar,129,59,93,-12,96
Blauw,The Scene,135,75,51,-7,28
Spicks And Specks,Bee Gees,123,63,65,-7,71
Stan,Eminem,80,77,78,-4,51
Beautiful,Christina Aguilera,76,57,46,-4,10
Gravity,John Mayer,124,33,76,-10,24
Leave the Light On,Beth Hart,142,48,57,-6,16
Ruthless Queen,Kayak,124,46,53,-10,22
Everlong - Acoustic Version,Foo Fighters,144,34,64,-11,55
Here Without You,3 Doors Down,144,55,54,-7,23
One,Mary J. Blige,186,87,34,-3,27
Mijn Houten Hart,De Poema's,70,59,43,-6,25
Mad World (Feat. Michael Andrews),Gary Jules,174,6,35,-17,30
Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,114,60,88,-11,96
The Wall Street Shuffle,10cc,98,50,52,-11,66
Song 2,Blur,130,71,66,-7,86
I Would Stay,Krezip,95,26,47,-11,27
Piano Man,Billy Joel,179,47,33,-9,43
Fireflies,Owl City,180,66,51,-7,46
Lost,Anouk,90,25,52,-10,14
Woman,Wolfmother,113,95,22,-4,17
Where Is The Love?,The Black Eyed Peas,94,70,83,-3,80
Yellow,Coldplay,173,66,43,-7,28
This Is The Life,Amy Macdonald,95,88,62,-5,86
Wicked Game,Chris Isaak,113,55,67,-8,29
Breakeven,The Script,94,70,63,-5,53
Not An Addict,K's Choice,169,65,26,-7,34
So Incredible,Ilse DeLange,104,86,54,-6,75
Mr Rock & Roll,Amy Macdonald,111,87,60,-5,44
Will You Be There - Single Version,Michael Jackson,83,63,41,-7,44
Vlinder,Rowwen Hèze,175,79,35,-5,80
Cambodia,Kim Wilde,111,57,70,-8,71
Back To Black,Amy Winehouse,123,73,49,-3,34
Dochters,Marco Borsato,128,52,64,-10,36
Hocus Pocus,Focus,184,82,26,-6,40
Mensch,Herbert Grönemeyer,174,78,68,-6,87
Amsterdam,Coldplay,73,18,26,-10,11
Time Is Running Out,Muse,118,84,59,-6,43
Rain Down on Me,Kane,133,88,46,-3,33
Denis,Blondie,139,77,53,-7,86
Hometown Glory,Adele,123,34,45,-9,21
Live And Let Die - Live,Paul McCartney,150,93,24,-3,23
I Still Cry,Ilse DeLange,98,35,54,-9,16
Ren Lenny Ren,Acda en de Munnik,110,87,51,-5,43
In My Place,Coldplay,145,59,43,-5,19
Numb,Linkin Park,110,86,50,-4,24
Slow Dancing in a Burning Room,John Mayer,134,36,67,-9,29
Empire State Of Mind,JAY-Z,174,96,49,-2,81
Drops of Jupiter,Train,79,64,47,-6,50
Omarm,BLØF,184,44,27,-9,8
(What A) Wonderful World,Sam Cooke,129,51,69,-10,89
Teardrops,Womack & Womack,133,72,87,-10,97
The Rising,Bruce Springsteen,110,76,50,-6,33
Snow (Hey Oh),Red Hot Chili Peppers,105,90,43,-4,60
I Don't Wanna Hurt,Anouk,79,48,48,-7,22
Ordinary People,John Legend,67,13,47,-14,36
Iedereen Is Van De Wereld,The Scene,118,73,45,-7,38
Gold,Spandau Ballet,143,74,71,-8,64
All Night Long (All Night) - Single Version,Lionel Richie,109,58,74,-12,78
Can't Stop Loving You - 2016 Remaster,Phil Collins,100,78,60,-6,42
City Of Blinding Lights,U2,139,77,44,-4,20
Munich,Editors,149,88,18,-4,39
Hey Ya!,OutKast,80,97,73,-2,97
There Must Be an Angel (Playing with My Heart),Eurythmics,112,78,58,-5,60
Laat Me / Vivre - Lange Versie,Alderliefste met Ramses Shaffy en Liesbeth List,81,41,66,-9,37
Watskeburt?!,De Jeugd Van Tegenwoordig,130,49,95,-8,59
Feel,Robbie Williams,98,73,60,-7,29
Lady Jane - (Original Single Mono Version),The Rolling Stones,205,47,38,-12,31
La Isla Bonita,Madonna,100,83,71,-5,97
Go Like Elijah,Chi Coltrane,134,88,63,-5,49
Chop Suey!,System Of A Down,127,93,42,-4,29
Sorry - (Live in Tivoli),Kyteman,68,47,35,-9,20
Black or White - Single Version,Michael Jackson,115,89,74,-4,96
Shut Your Eyes,Snow Patrol,125,74,69,-6,84
Ironic,Alanis Morissette,171,64,46,-6,29
I Bet You Look Good On The Dancefloor,Arctic Monkeys,103,95,54,-4,78
Vogue,Madonna,116,88,74,-6,33
If I Were a Boy,Beyoncé,90,52,63,-6,43
Dyna-Mite,Mud,141,92,58,-5,77
Une Belle Histoire (Een Mooi Verhaal),Alderliefste,87,68,57,-8,67
Sandstorm - Radio Edit,Darude,136,98,54,-8,52
Right Next Door (Because Of Me),Robert Cray,87,65,61,-8,79
Hald Mich 'S Vas,Neet Oét Lottum,179,54,29,-8,16
Like a Prayer,Madonna,111,84,62,-5,26
Rockin' All Over The World,Status Quo,131,96,62,-5,97
Blue Hotel,Chris Isaak,149,81,52,-4,53
Dear Mr. President,P!nk,128,30,48,-9,30
Stiekem Gedanst,Toontje Lager,96,63,66,-10,84
Human,The Killers,135,80,56,-8,58
Lady Madonna - Remastered 2015,The Beatles,110,78,65,-5,57
Both Sides Now,Joni Mitchell,78,14,26,-14,14
God Is a DJ,Faithless,131,90,61,-7,39
Viva La Vida,Coldplay,138,62,49,-7,42
Kids,MGMT,123,93,45,-4,17
Bend & Break,Keane,138,84,47,-4,48
We Can Work It Out - Remastered 2015,The Beatles,106,68,38,-9,65
Sing for Absolution,Muse,170,68,44,-7,19
Superstition - Single Version,Stevie Wonder,100,63,63,-12,87
Vertigo,U2,140,82,42,-4,63
By the Way,Red Hot Chili Peppers,122,97,45,-5,20
Hey Jude,The Beatles,74,63,46,-7,59
November,Rowwen Hèze,186,40,32,-9,23
Geef Mij Je Angst,Guus Meeuwis,81,56,37,-11,42
Stuck In The Middle With You,Stealers Wheel,124,56,80,-10,96
Het Regent Zonnestralen,Acda en de Munnik,108,75,62,-6,83
Violet Hill,Coldplay,76,58,35,-8,11
Beautiful Day,U2,136,93,54,-6,45
Major Tom,Peter Schilling,164,54,78,-6,68
An End Has a Start,Editors,150,92,35,-2,54
Lost!,Coldplay,87,78,36,-8,58
What It Is,Mark Knopfler,122,67,63,-7,48
Blue Monday - 2016 Remaster,New Order,130,70,79,-10,86
Behind Blue Eyes,Limp Bizkit,120,49,60,-7,9
Rehab,Amy Winehouse,72,87,43,-3,73
Bird of Paradise,Snowy White,144,44,47,-11,31
I'm Yours,Jason Mraz,151,46,69,-8,72
Onderweg,Abel,98,68,62,-6,41
Mr. Bojangles - Single Version,Sammy Davis Jr.,117,18,54,-13,13
Unwritten,Natasha Bedingfield,100,80,71,-6,63
Resistance,Muse,135,77,47,-7,9
Bedshaped,Keane,75,41,33,-7,7
Mia,Gorki,114,30,70,-17,23
You Oughta Know,Alanis Morissette,105,86,64,-7,47
Overcome,Live,146,40,38,-7,19
Stand My Ground,Within Temptation,88,87,25,-4,13
Chasing Cars,Snow Patrol,104,59,56,-5,14
Dani California,Red Hot Chili Peppers,96,91,56,-2,73
Unfinished Sympathy,Massive Attack,114,89,59,-6,70
Nine Million Bicycles,Katie Melua,82,25,53,-16,34
You're Beautiful,James Blunt,82,48,68,-10,45
It's My Life,Bon Jovi,120,91,55,-4,54
Politik,Coldplay,171,48,26,-8,7
Mooie Dag,BLØF,85,58,50,-11,30
In Nije Dei,De Kast,130,49,41,-9,15
Sex on Fire,Kings of Leon,153,91,54,-6,37
Hallelujah,Lisa Lois,182,24,19,-13,11
Somewhere Only We Know,Keane,172,66,45,-4,37
How You Remind Me,Nickelback,172,76,45,-5,54
When You Say Nothing At All,Ronan Keating,174,45,46,-11,42
Hard Sun,Eddie Vedder,143,83,44,-7,65
Belfast Child,Simple Minds,81,39,14,-13,30
Feel Good Inc.,Gorillaz,139,71,82,-7,77
Alles Is Liefde,BLØF,144,77,51,-6,57
Jerusalem,Anouk,132,84,61,-7,54
Mr Bojangles,Robbie Williams,137,33,51,-11,27
Tranen Gelachen,Guus Meeuwis,186,54,30,-8,54
When The Sun Goes Down,Arctic Monkeys,169,88,35,-5,41
Frozen,Madonna,108,74,59,-8,29
The Racing Rats,Editors,153,84,32,-4,22
Poker Face,Lady Gaga,119,81,85,-5,78
Life in Technicolor ii,Coldplay,131,91,47,-7,29
Ruby,Kaiser Chiefs,93,93,44,-3,40
Het Land Van,Lange Frans,83,53,66,-9,61
Elevation,U2,110,80,58,-8,42
Trouble,Coldplay,140,55,56,-7,19
De Peel In Brand,Rowwen Hèze,199,36,28,-13,33
Black Betty,Ram Jam,117,73,49,-9,83
Wrong,Novastar,90,66,54,-8,49
Never Be Clever,Herman Brood & His Wild Romance,138,89,56,-5,96
Undisclosed Desires,Muse,116,59,68,-7,64
Auto Vliegtuug,Rowwen Hèze,96,52,32,-7,25
Meer Dan Een Ander,Van Dik Hout,94,18,56,-13,25
Brabant,Guus Meeuwis,82,47,41,-7,39
Mother Earth,Within Temptation,105,59,43,-6,15
One More Time,Daft Punk,123,70,61,-9,48
(You're The) Devil in Disguise,Elvis Presley,123,73,48,-8,87
TRUE - Single Edit,Spandau Ballet,97,55,74,-9,35
Make It Wit Chu,Queens of the Stone Age,92,81,70,-5,58
Bring Me To Life,Evanescence,95,94,33,-3,30
Clocks,Coldplay,131,75,58,-7,26
Farewell To The Fairground,White Lies,118,77,53,-5,30
Bliss,Muse,128,80,45,-9,25
Kijk Omhoog,Nick & Simon,166,56,41,-5,47
9 Crimes,Damien Rice,74,17,33,-13,10
Working On a Dream,Bruce Springsteen,110,77,56,-7,71
Nutbush City Limits,Ike & Tina Turner,77,89,69,-6,91
Do They Know It's Christmas? - 1984 Version,Band Aid,115,64,60,-7,35
Changes,2Pac,111,66,87,-7,32
Mag Ik Dan Bij Jou,Claudia De Breij,132,29,54,-10,19
Sterrenstof,De Jeugd Van Tegenwoordig,97,79,71,-4,90
Love Will Tear Us Apart - 2010 Remaster,Joy Division,147,90,53,-9,91
Mag Het Licht Uit,De Dijk,113,42,74,-10,58
